tool;type;value;source
Annotorious;description;A Web-based image annotation tool, built specifically for integration with existing Web pages or portal environments. Annotorious is also available as a plugin to the Annotator Web annotation system by the Open Knowledge Foundation.;BambooDirt
VassarStats;description;A website that explains statistical concepts and provides a web-based environment for performing those calculations.;BambooDirt
Marble;description;A virtual globe and world atlas with which you can pan and zoom around locations and look up places and streets. It is also possible to measure distances, watch the current cloud cover, and change the dates and times to track changes. Types of maps include: topographic, satellite view, and street map. Marble can be embedded as a widget. It can import data from a variety of other data sources, such as KML, GPX and free map sources such as OpenStreetMap.;HistoryOnline
Impure ;description;"A 'visual programming language' which can take information from private data or the web and visualise it. Requires registration. Once logged in, a menu of libraries offers 'structures, operators, visualizators, controls, and apis': a good general knowledge of programming concepts is required to build the modular visualisation process; for example the first thing on the menu for structures is 'Number', which has 'actionScript number datatype'. Powerful but requires a large investment of time from non-programmers to get started, although some documentation, including code snippets, is available at the site's wiki: http://wiki.impure.com/wiki/index.php/Main_Page. A good example of the kind of thing you can produce is at http://www.elephant-path.com/.";HistoryOnline
Chicken of the VNC;description;A VNC (Virtual Network Computing) client that allows one to display the screen of a remote computer on a local machine. The remote computer may be controlled using the keyboard, mouse, or other peripheral on the local machine. Both local and remote systems must operate VNC software and be appropriately configured to allow access. The title of the software application is a play upon 'Chicken of the Sea', a brand of canned tuna sold in the US.;ArtsHumanities
Sigil;description;A WYSIWYG open-source XML-based ePub editor for creating e-books.;BambooDirt
A.nnotate.com;description;A.nnotate.com allows you to annotate documents and images online. You may also collaborate on documents and index files. A.nnotate.com supports PDF and MS Office file formats, and runs on all common web browsers.;BambooDirt
XSugar;developer;Aarhus University;TERESAH
Abbot;description;"Abbot is a tool for undertaking large-scale conversion of XML document collections in order to make them interoperable with one another.  In particular, Abbot can make one or more collections conform to a designated schema (including a schema used to define one of the collections).
By default, Abbot converts documents into TEI Analytics -- a TEI subset designed for text analysis applications.";BambooDirt
ABBYY Fine Reader;developer;ABBYY;TERESAH
Adobe Flash;keyword;abc;TERESAH
Academia;developer;Academia;TERESAH
Academia;description;Academia allows academics to have free web pages, and displays the branches of academia in a tree-like format, grouped by universities and departments.;BambooDirt
CLAWS Tagger;license;academic;TERESAH
OpendTect;license;academic;TERESAH
Subversion Version System (SVN);keyword;access management;TERESAH
UMapper;keyword;ActionScript;TERESAH
Advene;keyword;Active;TERESAH
Alpheios;keyword;Active;TERESAH
ANNIS;keyword;Active;TERESAH
Annotator;keyword;Active;TERESAH
AskSam;keyword;Active;TERESAH
Atlas.ti;keyword;Active;TERESAH
Balsamiq Mockups;keyword;Active;TERESAH
Basecamp;keyword;Active;TERESAH
Bibliopedia;keyword;Active;TERESAH
BITEXT;keyword;Active;TERESAH
